chapter,verse,text
18,11,"अयनेष च सवेष यथाभागमविताः।  
भीमेवािभर भवः सव एव िह ॥११॥
ayaneßu ca sarveßu yathå-bhågam avasthitå˙
bhîßmam evåbhirakßantu bhavanta˙ sarva eva hi 
You must support and protect Bhîßma at all costs, at the 
strategic points of our battle formation.
Anuv®tti
War is nothing new to this world. Thousands of years 
ago wars were being fought, such as the one at Kurukßetra, 
to resolve the differences between good and evil and for 
the purpose of material gain. From ancient times to our 
modern era, practically not a day on this Earth has passed 
when someone, somewhere, was not fighting over some -
thing. Throughout history men have gathered on the field 
of battle to fulfil their greed for wealth and glory, some -
times nobly, but more often ignobly. The same is happen -
ing in the 21st Century. War it seems is an unavoidable 
karmic destiny of human civilisation.
Chapter 17
Peace, on the other hand, is rather elusive. Peace is 
talked about and even prayed for, but seldom makes more 
than a momentary appearance. Most of our lives, even for 
the humblest of souls, are spent struggling for existence 
either socially, politically, financially, mentally or physi -
cally. For most of us the temporary absence of any major 
crisis is what we would call peace. However, peace (or çånti 
as it is known amongst yogîs) is a state of consciousness 
and not a condition relative to the external affairs of the 
material world. Peace is an internal experience.
The wisdom of the Vedic literature, Çrîmad Bhågavatam  
says, jîvo-jîvasya-jîvanaµ  – one living being is food for 
another living being. From the minutest forms of life 
to the most complex, one life is sustained by the loss of 
another. Thus, the basic principle for material existence is 
fundamentally flawed with violence. Peace then, for most 
of us, comes in doing what we have to do and believing 
that we have done the right thing. Therein lies the fine line 
between war and peace. Is what we think to be good, or 
what we are conditioned to believe, actually right?
The ability to discriminate between right and wrong, or 
in some cases good and evil, largely depends on the extent 
of knowledge from which we draw our conclusions. A poor 
fund of knowledge naturally results in faulty conclusions. 
Therefore, it is in our best interest to seek out the greatest 
source of knowledge – knowledge of the Absolute Truth, 
and familiarise ourselves with that.
Bhagavad-gîtå  is perhaps the most widely read book 
of theistic knowledge in the world. Whatever knowledge 
one finds in similar books such as the Dhammapada, the 
Bible, the Torah, the Koran etc. is also found in the Bhaga -
Bhagavad-gita8
vad-gîtå.  But in the Bhagavad-gîtå  one will find knowl -
edge that is not present anywhere else. Consequently, the 
Bhagavad-gîtå  surpasses all branches of knowledge. What 
lies ahead in these commentaries is a look into the vastness 
of the knowledge of the Absolute Truth contained in the 
Bhagavad-gîtå ."
18,12,"त सनयष कुवृः िपतामहः ।  
िसंहनादं िवनोैः शं दौ तापवान ्॥१२॥
tasya sañjanayan harßaµ kuru-v®ddha˙ pitåmaha˙
siµha-nådaµ vinadyoccai˙ ça∫khaµ dadhmau pratåpavån 
Then Bhîßma, the fearless grandsire of the Kuru Dynasty, 
roaring like a lion, blew his conch loudly to increase the 
euphoria of Duryodhana."
18,13,"ततः शा भेय पणवानकगोमखाः ।  
सहसैवाह स शमलोऽभवत ्॥१३॥
tata˙ ça∫khåç ca bheryaç ca pa√avånaka-gomukhå˙
sahasaivåbhyahanyanta sa çabdas tumulo’bhavat 
At that point, conches, trumpets, bugles, drums and horns 
suddenly sounded all at once and the combined sound rose 
up like thunder."
18,14,"ततः ेतैहयैये महित ने ितौ ।  
माधवः पाडवैव िदौ शौ दतः ॥१४॥
Chapter 19
tata˙ çvetair hayair yukte mahati syandane sthitau
mådhava˙ på√∂avaç caiva divyau ça∫khau pradadhmatu˙ 
On the other side of the battlefield, both Çrî K®ß√a, the 
husband of the goddess of wealth, and Arjuna, sitting on 
a wonderful chariot yoked with horses of fair hue, blew 
their divine conches."
18,15,"पाजं षीकेशो देवदं धनयः ।  
पौं दौ महाशं भीमकमा वृकोदरः॥१५॥
påñcajanyaµ h®ßîkeço devadattaµ dhanañjaya˙
pau√∂raµ dadhmau mahåça∫khaµ bhîma-karmå v®kodara˙
Çrî K®ß√a, the Master of the senses, blew his conch-shell 
called Påñcajanya. Arjuna, the winner of great wealth, blew 
his conch-shell called Devadatta. Bhîma, the performer of 
great feats, blew his conch-shell Pau√∂ra."
18,16,"अनिवजयं राजा कुीपो यिधिरः ।  
नकुलः सहदेव सघोषमिणपकौ ॥१६॥
काय परमेासः िशखडी च महारथः ।  
धृो िवराट सािकापरािजतः ॥१७॥
पदोौपदेया सवशःपृिथवीपते ।  
सौभ महाबाः शाः पृथृथक ्॥१८॥
ananta-vijayaµ råjå kuntî-putro yudhiß†hirah
nakula˙ sahadevaç ca sughoßa-ma√ipußpakau
kåçyaç ca parameßvåsa˙ çikha√∂î ca mahåratha˙
dh®ß†adyumno virå†aç ca såtyakiç cåparåjita˙
Bhagavad-gita10
drupado draupadeyåç ca sarvaça˙ p®thivî-pate 
saubhadraç ca mahå-båhu˙ ça∫khån dadhmu˙ p®thak p®thak 
Yudhiß†hira, the son of Kuntî, blew his conch-shell Anan -
ta-vijaya. Nakula and Sahadeva blew their conches called 
Sughoßa and Ma√ipußpaka. O emperor, the great archer 
the king of Kåçî, the expert chariot warrior Çikha√∂i, 
Dh®ß†adyumna, Virå†a, the invincible Såtyaki, Drupada, 
the sons of Draupadî and Abhimanyu the mighty son of 
Subhadrå all blew their conches."
18,19,"स घोषो धातरााणां दयािन दारयत ्।  
नभ पृिथव चैव तमलोऽननादयन ्॥१९॥
sa ghoßo dhårtaråß†rå√åµ h®dayåni vyadårayat
nabhaç ca p®thivîµ caiva tumulo’bhyanunådayan 
The hearts of the sons of Dh®taråß†ra were shattered as 
the tumultuous sound reverberated throughout the sky 
and on the land.
Anuv®tti
At the outset of the Kurukßetra war, Duryodhana 
made the classic military blunder of underestimating the 
strength of his adversary. Possibly blinded by his greed for 
the kingdom or by his longstanding hatred for his cousins, 
the På√∂avas, he entered the engagement thinking that his 
enemy’s strength was limited.
Hate and greed are certainly poor allies of judgment, 
usually resulting in wrong decisions and the senseless loss 
of life. No better examples in modern times need be cited 
than that of the wars in Vietnam, Iraq and Afghanistan 
Chapter 111
wherein underestimating the will of a people has led to the 
loss of millions of innocent lives.
The classic commentators on Bhagavad-gîtå  have all 
pointed out the blunder of Duryodhana at Kurukßetra. 
Particularly it has been mentioned that Duryodhana failed 
to recognise that when Çrî K®ß√a, the Supreme Person, 
was there to advise Arjuna, that Arjuna would be a most 
formidable opponent.
History has shown us that wars are fought out of greed, 
hatred or religious prejudice. It is simply a convenience to 
think that, ‘God is on our side.’ The idea that ‘God is on 
our side’ is certainly a comforting thought and has accom -
panied men into almost every war that we know of since 
the rise of Abrahamic religions. However, the problem has 
always been that in all these conflicts both sides assumed 
the banner of righteousness, declaring, ‘God wills it!’ This 
is sometimes called the ‘theology of convenience’.
Even today it makes good to stir up the troops or rally 
the suicide bombers to their deaths by declaring that, 
“God favours our cause.” It is a fact that during these 
dark periods of history, more people have died, and more 
innocent people put to death in the name of God, than 
by any other single unnatural cause. Many people con -
sider despotic political regimes as the ultimate empires 
of cruelty, but the truth is that religious fanaticism has 
brought far more unnecessary death to the world than any 
political system of government.
So what makes the war at Kurukßetra any different 
than modern wars fought for greed or between religious 
fanatics? Is it not simply jingoism to say that because Çrî 
K®ß√a, the Supreme Person, was on the side of the På√∂a -
Bhagavad-gita12
vas that they were correct in destroying their enemies? 
The difference is that Kurukßetra was not fought because 
one side had a different religious ideology than the other. 
Kurukßetra was a fratricidal war – a family feud brought 
on by human faults: greed for sovereignty, failure in duty, 
envy, family attachment and falsely identifying the body 
as the self.
But unlike any other war in history, Kurukßetra would 
record a profound lesson for the benefit of all future gen -
erations. The lesson was taught by Çrî K®ß√a in the form 
of Bhagavad-gîtå  – a lesson that would enable humanity to 
overcome its mundane shortcomings, become established 
in transcendence and attain self-realisation."
18,20,"अथ विताा धातराािपजः ।  
वृे शसंपाते धन पाडवः ।
षीकेशं तदा वािमदमाह महीपते ॥२०॥
atha vyavasthitån d®ß†vå dhårtaråß†rån kapi-dhvaja˙
prav®tte çastra-sampåte dhanur udyamya på√∂ava˙
h®ßîkeçaµ tadå våkyam idam åha mahî-pate 
Speaking to Dh®taråß†ra, Sañjaya said: O emperor, just as 
the war was about to commence, Arjuna, whose chariot 
was decorated with the banner of Hanumån, observing 
your sons poised for battle, took up his bow and spoke to 
H®ßîkeça (Çrî K®ß√a, the Master of the senses), as follows. 
Chapter 113"
18,21,"अजन उवाच ।
सेनयोभयोमे रथं ापय मेऽत ॥२१॥
यावदेतािरीेऽहं योकामानवितान ्।  
कैमया सह योमिन ्रणसममे ॥२२॥
arjuna uvåca –
senayor ubhayor madhye rathaµ sthåpaya me’cyuta 
yåvad etån nirîkße’haµ yoddhu-kåmån avasthitån
kairmayå saha yoddhavyam asmin ra√a-samudyame 
Arjuna said: O Acyuta (Infallible One), place my chariot 
between both armies so that I may look upon the soldiers 
that I must do battle with."
18,23,"योमानानवेेऽहं य एतेऽ समागताः।  
धातरा बेये ियिचकीषवः ॥२३॥
yotsyamånån avekße’haµ ya ete’tra samågatå˙
dhårtaråß†rasya durbuddher yuddhe priya-cikîrßava˙ 
Let me see all those warriors that are dear to Duryodhana, the 
wicked son of Dh®taråß†ra, assembled here for this battle."
18,24,"सय उवाच ।
एवमो षीकेशो गडाकेशेन भारत ।  
सेनयोभयोमे ापिया रथोमम ् ॥२४॥
sañjaya uvåca –
evam ukto h®ßîkeço gu∂åkeçena bhårata
senayor ubhayor madhye sthåpayitvå rathottamam 
Bhagavad-gita14
Sañjaya continued: O descendant of Bharata, being thus 
requested, Çrî K®ß√a drew Arjuna’s grand chariot between 
both armies."
18,25,"भीोणमखतः सवषां च महीिताम ्।  
उवाच पाथ पयैतामवेताुिनित॥२५॥
bhîßma dro√a pramukhata˙ sarveßåµ ca mahîkßitåm
uvåca pårtha paçyaitån samavetån kurüniti 
 
In front of Bhîßma, Dro√a and all the leaders of the world, 
Çrî K®ß√a said: O Pårtha (Arjuna, son of P®thå), behold the 
Kaurava Dynasty assembled here!"
18,26,"तापयितााथः िपतॄनथ िपतामहान ्।  
आचायाातलाातॄाौाखथा ।
शरादैव सेनयोभयोरिप ॥२६॥
tatråpaçyat sthitån pårtha˙ pit®n atha pitåmahån
åcåryån måtulån bhråt®n putrån pautrån sakhîµs tathå 
çvaçurån suh®daç caiva senayor ubhayorapi 
There, between the two armies, Arjuna was able to observe 
fatherly elders, grandfathers, teachers, maternal uncles, 
brothers, sons, grandsons, fathers-in-law and friends."
18,27,"तामी स कौेयः सवाूनवितान ्।  
कपया परयािवो िवषीदिदमवीत ् ॥२७॥
tån samîkßya sa kaunteya˙ sarvån bandhün avasthitån 
k®payå parayåviß†o vißîdann idam abravit 
Chapter 115
Seeing all his relatives before him on the battlefield, 
Arjuna, the son of Kuntî, became overcome with pity and 
was grief-stricken."
18,28,"अजन उवाच ।
ेमं जनं क ययं समपितम ्।  
सीदि मम गाािण मखं च पिरशित ॥२८॥
arjuna uvåca –
d®ß†vemaµ svajanaµ k®ß√a yuyutsuµ samupasthitam  
sîdanti mama gåtrå√i mukhaµ ca pariçußyati 
Arjuna said: O K®ß√a, seeing all my relatives assembled 
here and preparing for battle, the strength drains from my 
limbs and my mouth becomes parched.
Anuv®tti
Çrî K®ß√a is known as Pårtha-sårathi, the chariot-driver 
of Arjuna. Because K®ß√a was Arjuna’s friend and compan -
ion, he requested K®ß√a to draw his chariot between the 
two armies so that he could see with whom he was to do 
battle. But upon seeing the enemy before him, Arjuna was 
shocked and fell into a state of bewilderment.
Now the stage at Kurukßetra was set, so that Çrî K®ß√a 
could speak Bhagavad-gîtå  – Arjuna became overwhelmed 
with grief and gave up his duty. As a warrior Arjuna was 
duty-bound to fight, but seeing the ordeal that lay ahead 
he could not proceed.
The world is certainly full of faults, dangers, unfortu -
nate events, cruel and hateful designs to exploit others and 
a host of other qualities that one would certainly describe 
as evil. To quote Edmund Burke, the Irish statesman and 
Bhagavad-gita16
philosopher, “The only thing necessary for evil to triumph 
is for good men to stand by and do nothing.”
Arjuna had resolved in his mind not to fight, knowing 
that the destruction of the dynasty meant the loss of tradi -
tion, the onslaught of degradation, the birth of unwanted 
children etc. and thus evil would be the only outcome. 
Arjuna also understood deep within himself that to do 
nothing also assured grim repercussions."
18,29,"वेपथ शरीरे मे रोमहष जायते ।  
गाडीवं ंसते हाैव पिरदते ॥२९॥
vepathuç ca çarîre me romaharßaç ca jåyate
gå√∂îvaµ sraµsate haståt tvak caiva paridahyate 
My body trembles, my hair stands on end, my skin burns 
and my Gå√∂îva bow slips from my grasp."
18,30,"न च शोवातं मतीव च मे मनः ।  
िनिमािन च पयािम िवपरीतािन केशव ॥३०॥
na ca çaknomy-avasthåtuµ bhramatîva ca me mana˙
nimittåni ca paçyåmi viparîtåni keçava 
O K®ß√a, O Keçava (Killer of the Keçî demon), I cannot keep 
my composure, my mind is bewildered and I see evil omens."
18,31,"न च ेयोऽनपयािम हा जनमाहवे ।  
न काे िवजयं क न च रां सखािन च ॥३१॥
Chapter 117
na ca çreyo’nupaçyåmi hatvå svajanam åhave
na kå∫kße vijayaµ k®ß√a na ca råjyaµ sukhåni ca 
O K®ß√a, I see no benefit in slaying my kinsmen in this 
battle. Neither do I desire victory, nor happiness by attain -
ing a great kingdom."
18,32,"िकं नो राेन गोिव िकं भोगैजिवतेन वा ।  
येषामथ काितं नो रां भोगाः सखािन च ॥३२॥
त इमेऽविता ये ाणांवा धनािन च।  
आचायाः िपतरः पाथैव च िपतामहाः ॥३३॥
मातलाः शराः पौाः यालाः संबिनथा ।  
एता हिमािम तोऽिप मधसूदन ॥३४॥
kiµ no råjyena govinda kiµ bhogair jîvitena vå
yeßåm arthe kå∫kßitaµ no råjyaµ bhogå˙ sukhåni ca 
ta ime’vasthitå yuddhe prå√åµs tyaktvå dhanåni ca 
åcåryå˙ pitara˙ putrås tathaiva ca pitåmahå˙ 
måtulå˙ çvaçurå˙ pautrå˙ çyålå˙ sambandhinas tathå
etån na hantum icchåmi ghnato’pi madhusüdana 
O Govinda (K®ß√a), of what avail to us are kingdoms, hap -
piness, or even life itself when all those for whom we may 
desire them are now arrayed on this battlefield? Of what 
use is a kingdom and it’s pleasures if those for whom we 
desire all this – our teachers, elders, sons, grandfathers, 
maternal uncles, fathers-in-law, grandsons, brothers-in-law 
and other relatives that are present here on this battlefield 
– are ready to jeopardise their kingdoms and their lives in 
this battle? O Madhusüdana (Killer of the Madhu demon), 
even if they wish to slay me, I have no desire to slay them. 
Bhagavad-gita18"
18,35,"अिप ैलोरा हेतोःिकं न महीकते ।  
िनह धातरााः का ीितः ानादन ॥३५॥
api trailokya-råjyasya heto˙ kiµ nu mahî-k®te
nihatya dhårtaråß†rån na˙ kå prîti˙ syåj-janårdana
O Janårdana (Maintainer of all living beings), what to 
speak of ruling this world, even if we gained sovereignty 
over the three worlds, what happiness would be attained 
by killing the sons of Dh®taråß†ra?"
18,36,"पापमेवायेदाैतानातताियनः ।  
तााहा वयं हं धातरााबावान ्। 
जनं िह कथं हा सिखनः ाम माधव ॥३६॥
påpam evåçrayed asmån hatvaitån åtatåyina˙
tasmån nårhå vayaµ hantuµ dhårtaråß†rån sabåndhavån
svajanaµ hi kathaµ hatvå sukhina˙ syåma mådhava 
O Mådhava (husband of the goddess of fortune), great 
misfortune will surely come upon us if we kill our relatives, 
though they may be hostile towards us. It is not proper to 
slay the sons of Dh®taråß†ra as well as our friends. What 
happiness will be derived from killing our own kin?"
18,37,"येते न पयि लोभोपहतचेतसः ।  
कुलयकतं दोषं िमोहे च पातकम ्॥३७॥
कथं न ेयमािभः पापादािविततम ्।  
कुलय कतं दोषं पयिजनादन ॥१-३८॥
Chapter 119
yadyapyete na paçyanti lobhopahatachetasa˙
kula-kßayak®taµ doßaµ mitra-drohe ca påtakam 
kathaµ na jñeyam asmåbhi˙ påpåd asmån nivartitum
kula-kßayak®taµ doßaµ prapaçyadbhir janårdana 
O Janårdana, although the hearts of these men are over -
whelmed by greed and they cannot see the fault in betraying 
one’s friends and the offence of murdering one’s kinsmen, 
why should we engage in such a terrible activity, knowing 
well the consequences?"
18,39,"कुलये णयि कुलधमाः सनातनाः ।  
धम ने कुलं कमधमऽिभभवत ॥३९॥
kula-kßaye pra√açyanti kula-dharmå˙ sanåtanå˙
dharme naß†e kulaµ k®tsnam adharmo’bhibhavatyuta 
By destroying one’s relatives, the family traditions are van -
quished forever, and when such practices perish, unright -
eousness prevails over the entire dynasty."
18,40,"अधमािभभवाृ ि कुलियः ।  
ीष ास वाय जायते वणसरः ॥४०॥
adharmåbhibhavåt k®ß√a pradußyanti kula-striya˙
strîßu duß†åsu vårß√eya jåyate var√a-sa∫kara˙
O K®ß√a, descendant of V®ß√i, when unrighteousness 
prevails then the women of the family become degraded. 
When the women become degraded, then undesirable off -
spring is the result.
Bhagavad-gita20"
18,41,"सरो नरकायैव कुलानां कुल च ।  
पति िपतरो ेषां िपडोदकियाः ॥४१॥
sa∫karo narakåyaiva kula-ghnånåµ kulasya ca
patanti pitaro hyeßåµ lupta-pi√∂odaka-kriyå˙ 
Undesirable offspring creates a dreadful condition for 
both the family and the destroyer of family values. Their 
forefathers fall down due to the discontinuation of cere -
monial libations of food and water."
18,42,"दोषैरेतैः कुलानां वणसरकारकैः ।  
उाे जाितधमाः कुलधमा शाताः ॥४२॥ 
doßair etai˙ kula-ghnånåµ var√a-sa∫kara-kårakai˙
utsådyante jåti-dharmå˙ kula-dharmåç ca çåçvatå˙
 
Such terrible deeds by the destroyers of the family create a 
population of unwanted progeny that totally annihilates all 
traditions of family and society."
18,43,"उकुलधमाणां मनाणां जनादन ।  
नरके िनयतं वासो भवतीनशम ॥४३॥
utsanna-kula-dharmå√åµ manußyå√åµ janårdana
narake niyataµ våso bhavatîty-anuçuçruma 
O Janårdana, I have heard that those who destroy 
familial, social and spiritual values eternally reside in 
wretched conditions. 
Chapter 121"
18,44,"अहो बत महापं कत विसता वयम ् ।  
यासखलोभेन हं जनमताः॥४४॥ 
aho bata mahat-påpaµ kartuµ vyavasitå vayam
yad råjya-sukha-lobhena hantuµ svajanam udyatå˙ 
Alas, what wickedness we are determined to commit – 
simply due to our greed to enjoy royal pleasures we are 
prepared to kill our own relatives!"
18,45,"यिद मामतीकारमशं शपाणयः।  
धातराा रणे हे ेमतरं भवेत ् ॥४५॥
yadi måm apratîkåram açastraµ çastra-på√aya˙
dhårtaråß†rå ra√e hanyus tan me kßemataraµ bhavet 
If the sons of Dh®taråß†ra, with weapons in their hands, 
slay me unarmed and unresisting on this battlefield, that 
would be considered better by me."
18,46,"सय उवाच ।
एवमवाजनः से रथोप उपािवशत ् ।  
िवसृ सशरं चापं शोकसंिवमानसः ॥४६॥
sañjaya uvåca –
evam uktvårjuna˙ sa∫khye rathopastha upåviçat
vis®jya saçaraµ cåpaµ çoka-saµvigna-månasa˙
Sañjaya said: Having thus spoken these words, Arjuna cast 
aside his bow and arrows and sat on the chariot, his heart 
heavy with sorrow.
Bhagavad-gita22
Anuv®tti
Figuratively speaking we would say that Arjuna was 
‘caught between a hard spot and a rock’. Therefore, Arjuna 
intelligently approached Çrî K®ß√a and appealed for His 
intervention. Knowing that Çrî K®ß√a was the Absolute 
Truth, complete with all opulence and knowledge, Arjuna 
approached Çrî K®ß√a, addressing Him as H®ßîkeça (Master 
of the senses), as Acyuta (the infallible), as Keçava (the 
killer of the Keçî demon), as Govinda (one who pleases 
the senses), as Madhusüdana (the killer of the Madhu 
demon), as Janårdana (the Maintainer of all living beings), 
as Mådhava (the husband of the goddess of fortune) and as 
Vårß√eya (the descendant of the V®ß√i Dynasty).
Arjuna addressed Çrî K®ß√a by His different names 
in order to invoke K®ß√a’s mercy and compassion for 
the predicament that Arjuna was in. As H®ßîkeça, K®ß√a 
is the Master of the mind and senses  – thus He is never 
bewildered or put into illusion. As Acyuta, He is incapa -
ble of making mistakes or wrong decisions. Arjuna needed 
K®ß√a’s advice urgently – advice that he could depend on, 
that would give relief to his disturbed mind and senses.
As Keçava, K®ß√a is the killer of the demon Keçî who 
represents the false sense of greatness. Çrî K®ß√a is known 
to have killed numerous demons during His advent and 
each of those demons represented negative qualities that 
hinder one’s progress in spiritual life such as the desire for 
name and fame, dishonesty, false pride, deceitfulness, cru -
elty, foolishness, violence, lust, anger, greed, false teachings 
and bad habits etc. Arjuna was confident that by taking 
shelter of Çrî K®ß√a, all that was an impediment to his sit -
uation would be removed.
Chapter 123
By addressing K®ß√a as the descendant of the V®ß√i 
Dynasty, Arjuna was also reminding K®ß√a of the impor -
tance of family traditions and to destroy them was Arjuna’s 
biggest dilemma.
ॐ तिदित ीमहाभारते शतसाहां संिहतायां 
वैयािसां भीपवािण ीमगवीतासूपिनष
िवायां योगशाे ीकाजनसंवादे 
सैदशनं नाम थमोऽायः ॥
oµ tat saditi çrî-mahåbhårate-çata-såhasryåµ saµhitåyåµ 
vaiyåsikyåµ bhîßma-parvå√i 
çrîmad bhagavad-gîtåsüpanißatsu
 brahma-vidyåyåµ yoga-çåstre çrî k®ß√årjuna-saµvåde
 sainya-darçanaµ nåma prathamo’dhyåya˙
OÂ TAT SAT – Thus ends Chapter One entitled 
Sainya-Darçana  from the conversation between Çrî 
K®ß√a and Arjuna in the Upanißad  known as Çrîmad 
Bhagavad-gîtå , the yoga-çåstra  of divine knowledge, 
from the Bhîßma-parva  of Mahåbhårata , the literature 
revealed by Vyåsa in one hundred thousand verses.



Chapter 227"
18,1,"सय उवाच।
तं तथा कपयािवमपूणाकुलेणम ्।  
िवषीदिमदं वामवाच मधसूदनः॥१॥
sañjaya uvåca –
taµ tathå k®payåviß†am açru-pür√åkulekßa√am
vißîdantam idaµ våkyam uvåca madhusüdana˙
Sañjaya said: Çrî K®ß√a then spoke the following words to 
Arjuna whose heart was overwhelmed with pity and whose 
eyes were filled with tears."
18,2,"ीभगवानवाच ।
कुता कमलिमदं िवषमे समपितम ्।  
अनायजमयमकीितकरमजन ॥२॥
çrî bhagavån uvåca –
kutas två kaçmalam idaµ vißame samupasthitam
anårya-juß†am asvargyam akîrti-karam arjuna 
Bhagavån Çrî K®ß√a said: Arjuna, how has such illusion 
overcome you at this crucial moment? This is not appro -
priate for an honourable man, nor does it lead to higher 
planets. It is the cause of infamy."
18,3,"ैं मा  गमःपाथ नैतपपते । 
ुं दयदौबं वोि परंतप ॥३॥
klaibyaµ må sma gama˙ pårtha naitat tvayy-upapadyate
kßudraµ h®daya-daurbalyaµ tyaktvottiß†ha parantapa 
Bhagavad-gitaO Pårtha, give up this unmanliness. It does not befit you. 
O chastiser of enemies, get up and do not yield to this 
petty weakness of heart."
18,4,"अजन उवाच ।
कथं भीमहं संे ोणं च मधसूदन । 
इषिभः ितयोािम पूजाहाविरसूदन ॥४॥
arjuna uvåca –
kathaµ bhîßmam ahaµ sa∫khye dro√aµ ca madhusüdana
ißubhi˙ pratiyotsyåmi püjårhåv-arisüdana
Arjuna replied: How can I counterattack such persons as 
Bhîßma and Dro√a in battle, firing arrows at those who are 
worthy of my respect, O Madhusüdana?"
18,5,"गनहा िह महानभावान ्ेयो भोंु भैमपीह लोके ।
हाथकामंा गिनहैव भीय भोगािधरिदधान ्॥५॥
gurün ahatvå hi mahånubhåvån 
çreyo bhoktuµ bhaikßyam apîha loke
hatvårtha kåmåµstu gurün ihaiva 
bhuñjîya bhogån rudhira-pradigdhån
It is better to live in this world by begging than kill -
ing our respectable superiors. Otherwise, the wealth and 
property that we enjoy here in this world will be tainted 
with their blood."
18,6,"न चैतिः कतरो गरीयो या जयेम यिद वा नो जयेयः।
यानेव हा न िजजीिवषामस ्तेऽविताः मखे धातरााः ॥६॥
Chapter 229
na caitad vidma˙ kataranno garîyo 
yadvå jayema yadi vå no jayeyu˙
yån eva hatvå na jijîvißåmas 
te’vasthitå˙ pramukhe dhårtaråß†rå˙
I do not know what is better for us – to conquer them or 
be conquered by them. If we slay the sons of Dh®taråß†ra 
who are assembled here before us, I have no desire to live."
